src.fid;src.device_id;src.ab_eoi_code;Status;src.network;Region;Gewest;Municipality;Gemeente;src.Name;src.timestamp;src.Value;Google Maps;Google Street View;Geo Point
pm10_hmean_station.fid--17262e03_197a4795c21_-47a5;11043;BELSZ05;Active;Flanders;;;;;40SZ05 - Steenokkerzeel;2025-06-23T15:00:00+02:00;19;https://www.google.com/maps/search/?api=1&query=178491%2C160297;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=178491%2C160297;50.91664840535989, 4.515181795705702
pm10_hmean_station.fid--17262e03_197a4795c21_-46b3;10691;BELSA04;Active;Flanders;;;;;40SA04 - Hoevenen;2025-06-23T12:00:00+02:00;28;https://www.google.com/maps/search/?api=1&query=222679%2C152448;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=222679%2C152448;51.3139288941448, 4.403868139749611
pm10_hmean_station.fid--17262e03_197a4795c21_-479d;100033;BETREG1;Active;Brussels;;;;;41REG1 - Brussel (Bld du Régent);2025-06-23T15:00:00+02:00;31;https://www.google.com/maps/search/?api=1&query=170351%2C149877;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=170351%2C149877;50.84356660319525, 4.367005785367071
pm10_hmean_station.fid--17262e03_197a4795c21_-46a5;6693;BETM802;Active;Flanders;;;;;42M802 - Antwerpen;2025-06-23T12:00:00+02:00;37;https://www.google.com/maps/search/?api=1&query=216790%2C153884;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=216790%2C153884;51.260989707467004, 4.424399006935333
pm10_hmean_station.fid--17262e03_197a4795c21_-479a;100039;BETDU07;Active;Flanders;;;;;40DU07 - Deurne;2025-06-23T15:00:00+02:00;64;https://www.google.com/maps/search/?api=1&query=212942%2C155588;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=212942%2C155588;51.2263885910435, 4.4487499033416125
pm10_hmean_station.fid--17262e03_197a4795c21_-46a2;6716;BETN035;Active;Flanders;;;;;42N035 - Aarschot;2025-06-23T12:00:00+02:00;11;https://www.google.com/maps/search/?api=1&query=185359%2C182928;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=185359%2C182928;50.97754137811419, 4.837618015698616
pm10_hmean_station.fid--17262e03_197a4795c21_-4796;6704;BETN016;Active;Flanders;;;;;42N016 - Dessel;2025-06-23T15:00:00+02:00;25;https://www.google.com/maps/search/?api=1&query=214045%2C205542;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=214045%2C205542;51.23365220616227, 5.1639788463317595
pm10_hmean_station.fid--17262e03_197a4795c21_-46a0;6749;BETN054;Active;Flanders;;;;;42N054 - Walshoutem;2025-06-23T12:00:00+02:00;5;https://www.google.com/maps/search/?api=1&query=155940%2C201869;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=155940%2C201869;50.711706093733504, 5.103158609453958
pm10_hmean_station.fid--17262e03_197a4795c21_-4794;10831;BETN047;Active;Flanders;;;;;42N047 - Hasselt;2025-06-23T15:00:00+02:00;41;https://www.google.com/maps/search/?api=1&query=181115%2C219278;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=181115%2C219278;50.936189381853765, 5.354360289979902
pm10_hmean_station.fid--17262e03_197a4795c21_-469c;10743;BETR803;Active;Flanders;;;;;42R803 - Antwerpen (Park Spoor Noord);2025-06-23T12:00:00+02:00;24;https://www.google.com/maps/search/?api=1&query=213190%2C154170;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=213190%2C154170;51.22862981306364, 4.428454177535568
pm10_hmean_station.fid--17262e03_197a4795c21_-4792;6771;BETR020;Active;Flanders;;;;;42R020 - Vilvoorde;2025-06-23T15:00:00+02:00;54;https://www.google.com/maps/search/?api=1&query=181235%2C154777;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=181235%2C154777;50.94138711459387, 4.436720763534069
pm10_hmean_station.fid--17262e03_197a4795c21_-4693;10935;BETZD08;Active;Flanders;;;;;42ZD08 - Zwijndrecht (Neerstraat);2025-06-23T12:00:00+02:00;19;https://www.google.com/maps/search/?api=1&query=213042%2C147399;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=213042%2C147399;51.22730931433437, 4.331523918163803
pm10_hmean_station.fid--17262e03_197a4795c21_-4791;6786;BETR801;Active;Flanders;;;;;42R801 - Borgerhout;2025-06-23T15:00:00+02:00;30;https://www.google.com/maps/search/?api=1&query=211080%2C154407;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=211080%2C154407;51.20966253090992, 4.431821046968845
pm10_hmean_station.fid--17262e03_197a4795c21_-4692;6880;BETH201;Active;Wallonia;;;;;43H201 - Liège;2025-06-23T12:00:00+02:00;5;https://www.google.com/maps/search/?api=1&query=146700%2C233400;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=146700%2C233400;50.62499156889806, 5.547464182570819
pm10_hmean_station.fid--17262e03_197a4795c21_-4781;11071;BETN064;Active;Wallonia;;;;;43N064 - Rixensart;2025-06-23T15:00:00+02:00;23;https://www.google.com/maps/search/?api=1&query=156712%2C158870;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=156712%2C158870;50.72088837560367, 4.494362377317611
pm10_hmean_station.fid--17262e03_197a4795c21_-468f;6900;BETN063;"Empty or value=""-9999""";Wallonia;;;;;43N063 - Corroy-Le-Grand;2025-06-23T12:00:00+02:00;;https://www.google.com/maps/search/?api=1&query=149467%2C171181;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=149467%2C171181;50.65543910340045, 4.668287682824639
pm10_hmean_station.fid--17262e03_197a4795c21_-4775;7000;BETR222;Active;Wallonia;;;;;43R222 - Seraing;2025-06-23T15:00:00+02:00;65;https://www.google.com/maps/search/?api=1&query=145438%2C235031;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=145438%2C235031;50.61341250148189, 5.570222814112581
